Country or Area,M49 Code,ISO-apha3 code,NDP,Link
American Samoa,016,ASM,YES,https://www.mof.gov.ws/wp-content/uploads/2022/03/MOF_PATHWAY-DEVELOPMENT-SAMOA.pdf
Angola,024,AGO,YES,https://www.cabri-sbo.org/en/documents/national-development-plan-pnd-2018-2022
Bahamas,044,BHS,YES,https://www.vision2040bahamas.org/media/uploads/Draft__National_Development_Plan_01.12.2016_for_public_release.pdf
Benin,204,BEN,YES,https://www.gouv.bj/actualite/199/le-benin-lance-son-ambitieux-plan-national-de-developpement-pnd/
Bhutan,064,BTN,YES,https://policy.asiapacificenergy.org/sites/default/files/12th%20Five%20Year%20Plan%20%282018-2023%29%20Guideline%20%28EN%29_0.pdf
Botswana,072,BWA,YES,https://botswana.un.org/sites/default/files/2020-10/NDP%2011%20full%202017.pdf
Brunei Darussalam,096,BRN,YES,https://deps.mofe.gov.bn/DEPD%20Documents%20Library/NDP/NDP11_Eng.pdf
Burundi,108,BDI,YES,http://www.presidence.gov.bi/wp-content/uploads/2018/08/PND-Burundi-2018-2027-Version-Finale.pdf
Cambodia,116,KHM,YES,https://data.opendevelopmentcambodia.net/laws_record/national-strategic-development-plan-nsdp-2019-2023/resource/bb62a621-8616-4728-842f-33ce7e199ef3
Chad,148,TCD,YES,https://documents1.worldbank.org/curated/en/695771553060696757/pdf/Plan-National-de-Developpement-du-Tchad-2017-2021.pdf
Colombia,170,COL,YES,https://revistas.uexternado.edu.co/index.php/ecoins/article/view/6548/8914
Congo,178,COG,YES,https://www.undp.org/fr/drcongo/publications/plan-national-strat%C3%A9gique-de-d%C3%A9veloppement
Cook Islands,184,COK,YES,https://policycookislands.files.wordpress.com/2017/08/nsdp-2016-2020-final-3rd-ed.pdf
Côte d'Ivoire,384,CIV,YES,https://www.gouv.ci/_grandossier.php?recordID=263
Curaçao,531,CUW,YES,https://www.undp.org/trinidad-and-tobago/publications/national-development-plan-curacao-2015-2030
Democratic Republic of the Congo,180,COD,YES,https://www.undp.org/fr/drcongo/publications/plan-national-strat%C3%A9gique-de-d%C3%A9veloppement
Djibouti,262,DJI,YES,https://economie.gouv.dj/wp-content/uploads/National-Development-Plan-English-version.pdf
Ecuador,218,ECU,YES,https://observatorioplanificacion.cepal.org/sites/default/files/plan/files/EcuandorPlanNacionalTodaUnaVida20172021.pdf
Eritrea,232,ERI,YES,https://www.afdb.org/en/documents/eritrea-interim-country-strategy-paper-2022-2024-and-2021-country-portfolio-performance-review
Eswatini,748,SWZ,YES,https://www.cabri-sbo.org/en/documents/national-development-plan-2019-20-2021-22
Ethiopia,231,ETH,YES,https://www.ircwash.org/sites/default/files/ten_year_development_plan_a_pathway_to_prosperity.2021-2030_version.pdf
Fiji,242,FJI,YES,https://www.fiji.gov.fj/getattachment/15b0ba03-825e-47f7-bf69-094ad33004dd/5-Year-20-Year-NATIONAL-DEVELOPMENT-PLAN.aspx
Gambia,270,GMB,YES,https://gambia.un.org/sites/default/files/2020-10/1.-The-Gambia-National-Development-Plan-2018-2021-Full-Version.pdf
Ghana,288,GHA,YES,https://ndpc.gov.gh/media/MTNDPF_2022-2025_Dec-2021.pdf
Gibraltar,292,GIB,YES,https://www.gibraltar.gov.gi/new/sites/default/files/HMGoG_Documents/Parts_I_%26_II.pdf
Grenada,308,GRD,YES,https://observatorioplanificacion.cepal.org/sites/default/files/plan/files/GRANADA-NSDP20202035.pdf
Guatemala,320,GTM,YES,https://www2.congreso.gob.pe/sicr/cendocbib/con4_uibd.nsf/3F1CB53FBADB4F5405257D6C006EFEE9/$FILE/1_pdfsam_PND_Katun2032.pdf
Guernsey,831,GGY,YES,https://www.gov.gg/CHttpHandler.ashx?id=104804&p=0
Guinea,324,GIN,YES,https://www.invest.gov.gn/index.php/document/pnds-document-principal
Guinea-Bissau,624,GNB,YES,https://www.mef.gw/publicacoes/plano-nacional-de-desenvolvimento-pnd/23-pnd-plurianual-1/file
Hungary,348,HUN,YES,https://extranet.who.int/countryplanningcycles/sites/default/files/planning_cycle_repository/hungary/80825_umft_angol_4_teljes.pdf
Indonesia,360,IDN,YES,https://perpustakaan.bappenas.go.id/e-library/file_upload/koleksi/migrasi-data-publikasi/file/RP_RKP/Narasi-RPJMN-2020-2024-versi-Bahasa-Inggris.pdf
Iraq,368,IRQ,YES,https://www.iraq-jccme.jp/pdf/archives/nationaldevelopmentplan2018_2022.pdf
Ireland,372,IRL,YES,https://www.gov.ie/en/publication/774e2-national-development-plan-2021-2030/
Isle of Man,833,IMN,YES,https://www.gov.im/media/1350906/the-isle-of-man-strategic-plan-2016-approved-plan-15_03_16.pdf
Israel,376,ISR,YES,https://planipolis.iiep.unesco.org/sites/default/files/ressources/palestine_ndp_state_final.pdf
